district,rooms,size,level,max_levels,price
Чиланзарский,1,30.0,3,4,22300.0
Мирзо-Улугбекский,2,60.0,4,5,30500.0
Шайхантахурский,3,70.0,2,4,56000.0
Юнусабадский,2,54.0,9,9,38000.0
Мирзо-Улугбекский,2,53.0,1,5,62000.0
Учтепинский,2,51.0,4,4,33500.0
Мирзо-Улугбекский,2,65.0,4,4,51000.0
Яшнободский,3,78.0,5,6,32000.0
Мирзо-Улугбекский,2,70.0,5,9,66000.0
Мирабадский,2,65.0,3,4,75000.0
Олмазорский,4,86.0,4,4,39500.0
Яшнободский,2,58.41,3,6,23477.0
Яккасарайский,1,39.0,2,5,27500.0
Мирзо-Улугбекский,3,70.0,3,4,68000.0
Шайхантахурский,3,110.0,7,7,125000.0
Яккасарайский,2,52.0,3,5,63000.0
Учтепинский,2,50.0,5,5,32000.0
Мирабадский,2,65.0,7,9,49000.0
Мирзо-Улугбекский,3,82.0,3,4,120000.0
Мирабадский,3,103.0,4,8,103000.0
Шайхантахурский,3,70.0,7,9,56000.0
Мирзо-Улугбекский,2,50.0,3,4,36000.0
Мирзо-Улугбекский,2,62.0,2,9,42000.0
Мирабадский,2,53.0,9,10,46000.0
Мирабадский,3,72.0,7,9,65000.0
Яшнободский,3,88.0,5,9,73000.0
Мирзо-Улугбекский,1,35.0,4,5,33000.0
Мирзо-Улугбекский,4,93.0,2,5,46500.0
Юнусабадский,2,60.0,3,4,33500.0
Мирабадский,3,103.0,7,8,96000.0
Яккасарайский,3,265.0,1,9,198750.0
Шайхантахурский,3,70.0,1,4,65000.0
Яккасарайский,4,115.0,1,4,135000.0
Юнусабадский,4,91.62,4,5,49000.0
Мирабадский,3,100.0,5,9,100000.0
Яккасарайский,4,120.0,1,4,135000.0
Мирабадский,3,85.0,3,9,82000.0
Мирабадский,3,85.0,5,9,74000.0
Яшнободский,2,58.1,10,11,25907.0
Яккасарайский,3,90.0,3,3,75000.0
Яшнободский,2,82.57,9,9,67000.0
Олмазорский,1,40.52,5,5,22000.0
Чиланзарский,3,115.0,1,9,100000.0
Мирзо-Улугбекский,2,56.0,2,2,30000.0
Чиланзарский,2,68.4,4,9,58500.0
Мирабадский,2,67.0,6,9,51000.0
Мирзо-Улугбекский,2,57.0,9,9,31000.0
Мирзо-Улугбекский,2,57.0,6,9,67000.0
Яккасарайский,5,116.0,3,9,87000.0
Яшнободский,1,35.0,2,9,23500.0
Олмазорский,2,72.0,4,9,39500.0
Юнусабадский,2,55.0,1,4,30500.0
Чиланзарский,2,38.0,4,4,32000.0
Мирзо-Улугбекский,1,30.0,3,4,25000.0
Учтепинский,2,49.0,3,4,32500.0
Юнусабадский,4,100.0,6,9,85000.0
Олмазорский,3,70.0,3,4,40400.0
Яккасарайский,1,64.0,8,12,55708.0
Яшнободский,4,100.0,7,9,44900.0
Мирзо-Улугбекский,1,41.0,2,4,38000.0
Яшнободский,4,80.0,2,5,47000.0
Яккасарайский,1,30.0,5,5,40500.0
Чиланзарский,2,52.0,4,4,46500.0
Мирабадский,2,62.0,1,9,62000.0
Яккасарайский,2,51.0,5,5,53000.0
Мирабадский,4,126.0,1,4,155000.0
Яккасарайский,2,82.0,8,8,69900.0
Юнусабадский,1,50.0,7,9,37500.0
Юнусабадский,4,82.0,1,4,85000.0
Мирабадский,3,88.0,5,5,55000.0
Мирабадский,3,85.0,5,9,74000.0
Чиланзарский,1,27.0,3,3,19500.0
Учтепинский,3,68.0,5,5,36200.0
Мирзо-Улугбекский,3,70.0,4,4,41500.0
Яккасарайский,1,46.0,1,5,36500.0
Мирзо-Улугбекский,4,140.0,5,9,84000.0
Шайхантахурский,5,96.0,1,5,75000.0
Учтепинский,3,65.0,2,4,42000.0
Юнусабадский,4,98.0,2,4,75000.0
Юнусабадский,3,90.0,9,9,62000.0
Мирабадский,3,90.0,3,5,102000.0
Мирабадский,3,90.0,3,5,105000.0
Яккасарайский,4,125.0,7,8,165000.0
Мирзо-Улугбекский,2,60.0,1,9,63000.0
Яккасарайский,2,60.0,3,4,43000.0
Мирабадский,2,65.0,4,9,76000.0
Чиланзарский,3,65.0,1,4,46500.0
Учтепинский,2,45.0,3,4,31000.0
Яшнободский,3,66.0,4,4,36000.0
Юнусабадский,2,46.0,1,4,36000.0
Яккасарайский,2,56.0,4,5,34500.0
Мирзо-Улугбекский,3,78.0,3,5,55000.0
Яшнободский,3,72.0,5,5,45000.0
Яккасарайский,2,48.0,1,4,38000.0
Олмазорский,3,56.0,1,2,27000.0
Мирзо-Улугбекский,2,65.0,4,4,33000.0
Мирабадский,3,75.0,6,9,110000.0
Мирабадский,4,120.0,1,5,135000.0
Мирзо-Улугбекский,1,46.0,2,9,42000.0
Мирабадский,2,63.0,4,9,59999.0
Учтепинский,1,37.0,2,4,26500.0
Яккасарайский,4,104.0,4,5,78500.0
Мирабадский,1,53.0,7,9,46500.0
Мирабадский,3,85.0,3,4,85000.0
Юнусабадский,4,82.0,3,4,75000.0
Яккасарайский,4,82.0,5,5,47500.0
Юнусабадский,3,70.0,4,4,63000.0
Шайхантахурский,2,61.0,2,7,52500.0
Мирзо-Улугбекский,2,65.0,4,5,65000.0
Мирзо-Улугбекский,1,34.0,2,3,21600.0
Юнусабадский,1,32.0,4,4,20000.0
Учтепинский,2,56.0,2,5,33500.0
Чиланзарский,1,36.0,4,4,24500.0
Чиланзарский,1,32.0,1,4,26500.0
Чиланзарский,2,46.0,2,4,35500.0
Учтепинский,2,60.0,5,9,35000.0
Чиланзарский,2,56.0,1,4,39500.0
Чиланзарский,2,56.0,1,4,32500.0
Яшнободский,3,84.0,4,6,37800.0
Учтепинский,1,42.0,4,5,27500.0
Учтепинский,1,42.0,4,5,25000.0
Учтепинский,1,42.0,3,5,29500.0
Чиланзарский,3,61.0,3,4,51500.0
Учтепинский,2,45.0,5,5,28500.0
Чиланзарский,3,60.0,3,9,65000.0
Яккасарайский,3,75.0,1,9,85000.0
Яккасарайский,2,50.0,3,9,40000.0
Олмазорский,1,42.0,3,4,35000.0
Шайхантахурский,3,80.0,9,9,85999.0
Мирабадский,4,155.0,2,12,130000.0
Юнусабадский,2,52.0,2,4,74000.0
Сергелийский,6,130.0,5,9,75000.0
Юнусабадский,3,111.0,6,9,110000.0
Мирабадский,3,75.0,6,9,92000.0
Мирзо-Улугбекский,3,68.0,3,4,82000.0
Яккасарайский,5,116.0,3,9,87000.0
Учтепинский,2,48.0,1,4,42000.0
Чиланзарский,1,30.0,1,4,26700.0
Мирабадский,3,72.0,4,9,80000.0
Яккасарайский,2,50.0,3,5,65000.0
Учтепинский,4,98.0,2,9,75000.0
Яккасарайский,2,52.0,4,5,61000.0
Мирабадский,2,62.0,5,9,76000.0
Шайхантахурский,3,70.0,5,9,58000.0
Яшнободский,4,100.0,1,4,107000.0
Яккасарайский,1,50.0,4,12,52000.0
Мирзо-Улугбекский,4,92.0,2,4,65000.0
Мирабадский,3,120.0,3,8,125000.0
Яккасарайский,2,42.0,4,4,40500.0
Яккасарайский,2,55.0,3,9,50500.0
Яккасарайский,1,34.0,2,5,56000.0
Мирабадский,2,58.0,2,4,62000.0
Яшнободский,2,50.0,1,5,42000.0
Мирзо-Улугбекский,3,131.0,2,8,165000.0
Мирабадский,3,75.0,2,4,75000.0
Учтепинский,3,70.0,3,4,40000.0
Яшнободский,2,55.0,4,5,73500.0
Юнусабадский,2,90.0,2,8,110000.0
Мирзо-Улугбекский,2,60.0,1,9,58000.0
Учтепинский,3,65.0,4,4,44500.0
Чиланзарский,2,70.0,2,9,80000.0
Учтепинский,2,46.0,2,4,37000.0
Чиланзарский,2,50.0,1,4,35500.0
Мирабадский,3,70.0,3,4,42000.0
Юнусабадский,2,60.0,4,5,38000.0
Олмазорский,2,57.0,5,5,33000.0
Сергелийский,5,125.0,6,9,51000.0
Чиланзарский,2,50.0,4,4,34000.0
Юнусабадский,4,90.0,4,5,55000.0
Учтепинский,2,56.0,6,6,37500.0
Олмазорский,2,59.0,5,5,33000.0
Шайхантахурский,3,95.0,3,6,39000.0
Учтепинский,4,96.0,5,9,49900.0
Чиланзарский,2,48.0,1,4,39000.0
Яшнободский,2,45.82,1,5,29000.0
Чиланзарский,2,51.0,5,5,32500.0
Мирзо-Улугбекский,3,70.0,4,4,75000.0
Чиланзарский,1,37.0,1,4,26500.0
Олмазорский,2,69.0,3,9,40795.0
Юнусабадский,4,84.0,3,4,73000.0
Олмазорский,3,69.33,2,4,46000.0
Олмазорский,4,86.0,1,5,57000.0
Чиланзарский,2,48.0,2,4,44000.0
Чиланзарский,4,138.0,1,3,135000.0
Мирзо-Улугбекский,1,42.0,2,4,62000.0
Яккасарайский,3,105.0,1,8,112000.0
Юнусабадский,3,80.0,1,10,90000.0
Яккасарайский,3,80.0,1,10,90000.0
Юнусабадский,2,54.0,2,4,58000.0
Яккасарайский,3,75.0,3,9,53000.0
Шайхантахурский,2,55.0,3,4,43000.0
Яккасарайский,1,27.0,3,3,19500.0
Олмазорский,2,50.0,1,9,37000.0
Олмазорский,2,58.0,2,9,34000.0
Мирзо-Улугбекский,2,45.0,3,3,26000.0
Юнусабадский,1,45.0,5,5,24000.0
Яшнободский,2,58.0,3,3,37000.0
Мирзо-Улугбекский,3,74.0,4,4,51000.0
Мирзо-Улугбекский,3,80.0,1,4,98000.0
Юнусабадский,4,110.0,3,9,88000.0
Мирабадский,3,70.0,2,4,60000.0
Учтепинский,4,80.0,5,5,45000.0
Учтепинский,3,100.0,4,12,54000.0
Яккасарайский,4,110.0,3,10,73000.0
Юнусабадский,1,46.0,7,9,39500.0
Учтепинский,3,78.0,2,4,56000.0
Мирзо-Улугбекский,2,48.0,3,3,33000.0
Юнусабадский,4,99.0,1,4,72000.0
Яккасарайский,1,29.0,9,9,15714.0
Яккасарайский,2,65.0,2,9,52500.0
Мирзо-Улугбекский,2,50.0,1,5,52000.0
Учтепинский,4,80.0,1,4,58000.0
Учтепинский,2,54.0,5,5,30000.0
Учтепинский,3,90.0,2,5,65000.0
Учтепинский,2,50.0,4,4,33000.0
Учтепинский,4,91.0,2,4,65000.0
Мирабадский,2,61.0,2,4,39000.0
Юнусабадский,3,101.0,8,9,125000.0
Яшнободский,3,74.0,8,9,59500.0
Шайхантахурский,3,72.0,2,9,58999.0
Мирзо-Улугбекский,3,90.0,2,9,51000.0
Яккасарайский,3,65.5,2,4,60800.0
Мирзо-Улугбекский,3,73.0,5,5,39000.0
Мирзо-Улугбекский,2,50.0,1,4,30000.0
Мирзо-Улугбекский,2,40.0,1,3,26000.0
Мирзо-Улугбекский,2,40.0,5,5,31500.0
Яккасарайский,1,44.0,2,9,27000.0
Юнусабадский,2,60.0,4,5,37000.0
Яшнободский,1,59.0,3,6,23600.0
Учтепинский,2,47.0,5,5,32000.0
Учтепинский,4,80.0,1,5,70000.0
Учтепинский,4,80.0,5,5,43000.0
Юнусабадский,3,78.0,4,4,55000.0
Мирзо-Улугбекский,2,60.0,6,9,34000.0
Чиланзарский,2,42.0,4,5,28500.0
Мирзо-Улугбекский,2,42.0,2,5,33500.0
Мирзо-Улугбекский,2,55.0,5,5,35000.0
Учтепинский,1,42.0,2,5,28000.0
Мирзо-Улугбекский,2,55.0,4,4,35000.0
Юнусабадский,2,50.0,4,4,33500.0
Сергелийский,1,44.0,5,7,29000.0
Шайхантахурский,3,70.0,2,4,70000.0
Яккасарайский,2,36.0,1,4,30000.0
Мирзо-Улугбекский,2,52.0,1,5,31000.0
Яккасарайский,3,75.0,6,8,115000.0
Яшнободский,3,75.0,5,9,64700.0
Мирзо-Улугбекский,2,50.0,3,4,40000.0
Шайхантахурский,3,78.0,6,9,55000.0
Мирабадский,3,61.0,4,4,60000.0
Учтепинский,2,48.0,5,5,27500.0
Учтепинский,1,42.0,3,5,32000.0
Учтепинский,4,80.0,5,5,48000.0
Учтепинский,2,42.0,1,4,32000.0
Яккасарайский,2,98.0,6,8,95000.0
Олмазорский,3,70.0,3,4,41000.0
Яшнободский,3,75.0,4,9,62000.0
Мирзо-Улугбекский,3,130.0,3,9,155000.0
Мирабадский,4,120.0,1,4,135000.0
Сергелийский,3,56.0,1,7,45000.0
Юнусабадский,3,70.0,1,4,60000.0
Чиланзарский,3,98.0,8,10,60000.0
Олмазорский,5,100.0,4,4,54000.0
Мирабадский,4,121.0,5,9,115000.0
Юнусабадский,2,58.0,4,5,33500.0
Мирабадский,4,92.0,2,5,55000.0
Сергелийский,3,80.0,8,9,41000.0
Мирзо-Улугбекский,3,72.0,4,4,41000.0
Бектемирский,1,41.0,2,2,19000.0
Олмазорский,4,83.0,5,5,40000.0
Яккасарайский,3,72.0,3,4,95000.0
Мирзо-Улугбекский,3,60.0,4,4,29000.0
Яккасарайский,3,76.0,5,9,43500.0
Яккасарайский,1,38.0,2,5,27500.0
Чиланзарский,1,27.0,3,3,19500.0
Яккасарайский,2,58.0,5,5,41000.0
Мирзо-Улугбекский,4,80.0,5,5,47000.0
Мирзо-Улугбекский,3,80.0,4,4,88000.0
Мирзо-Улугбекский,1,36.0,4,4,21000.0
Учтепинский,1,40.0,2,4,26500.0
Юнусабадский,2,52.0,3,4,75000.0
Мирабадский,2,65.0,5,9,71000.0
Чиланзарский,2,48.0,3,4,31000.0
Юнусабадский,2,85.0,5,9,105000.0
Яшнободский,2,59.0,3,6,25408.0
Чиланзарский,1,32.0,3,4,30000.0
Мирабадский,3,65.0,2,2,32500.0
Мирабадский,2,68.0,5,5,44500.0
Шайхантахурский,3,72.0,8,9,55000.0
Юнусабадский,2,65.0,3,4,76000.0
Олмазорский,3,183.0,3,4,90000.0
Учтепинский,2,50.0,1,4,40000.0
Олмазорский,4,130.0,4,4,80000.0
Яшнободский,1,42.0,4,8,14800.0
Олмазорский,3,96.0,4,5,145000.0
Мирзо-Улугбекский,3,88.0,2,4,132000.0
Чиланзарский,2,84.0,3,7,69000.0
Мирзо-Улугбекский,3,85.0,4,4,84000.0
Юнусабадский,2,60.0,6,9,55000.0
Чиланзарский,3,77.0,1,4,48000.0
Чиланзарский,3,60.0,4,4,57500.0
Чиланзарский,4,135.0,4,4,95000.0
Учтепинский,4,97.0,1,9,82000.0
Яккасарайский,2,82.0,6,9,49200.0
Учтепинский,1,40.0,1,4,25500.0
Мирабадский,4,130.0,3,9,105000.0
Яккасарайский,2,64.0,1,5,42000.0
Учтепинский,3,72.0,4,9,43500.0
Мирзо-Улугбекский,1,26.0,1,3,17000.0
Мирзо-Улугбекский,3,100.0,5,7,70000.0
Яшнободский,3,72.0,4,4,80000.0
Мирабадский,2,62.0,9,9,46000.0
Мирабадский,3,75.0,3,4,75000.0
Мирзо-Улугбекский,1,35.0,4,4,29000.0
Мирзо-Улугбекский,1,41.0,1,5,28000.0
Яккасарайский,1,39.0,1,5,26700.0
Юнусабадский,4,94.0,1,9,66000.0
Олмазорский,3,70.0,4,4,37500.0
Мирзо-Улугбекский,3,80.0,3,4,115000.0
Чиланзарский,2,50.0,2,4,46000.0
Мирзо-Улугбекский,4,90.0,2,4,123000.0
Мирзо-Улугбекский,2,42.0,2,4,81000.0
Мирзо-Улугбекский,3,90.0,4,7,55500.0
Мирабадский,4,121.0,2,8,140000.0
Учтепинский,4,80.0,3,5,52000.0
Чиланзарский,1,30.0,1,3,25000.0
Мирзо-Улугбекский,3,70.0,3,4,100000.0
Мирзо-Улугбекский,3,105.0,5,5,100000.0
Мирзо-Улугбекский,3,72.0,4,5,67000.0
Юнусабадский,3,70.0,1,4,72500.0
Яккасарайский,3,105.0,7,10,135000.0
Мирзо-Улугбекский,2,55.0,4,4,60000.0
Чиланзарский,3,72.0,2,4,54000.0
Мирзо-Улугбекский,1,40.0,3,4,60000.0
Чиланзарский,4,132.0,3,8,88308.0
Шайхантахурский,3,68.41,4,9,60000.0
Чиланзарский,3,97.0,4,8,64505.0
Мирзо-Улугбекский,2,59.0,2,4,57500.0
Чиланзарский,3,97.0,3,8,64505.0
Мирзо-Улугбекский,2,62.0,9,9,56500.0
Чиланзарский,3,97.0,7,8,67997.0
Яккасарайский,2,46.0,3,5,46500.0
Яшнободский,1,45.0,2,5,26000.0
Юнусабадский,5,140.0,7,7,77000.0
Яккасарайский,1,39.0,5,5,26700.0
Шайхантахурский,4,125.0,1,5,118000.0
Мирабадский,2,43.0,4,4,20800.0
Яшнободский,3,72.0,8,9,64000.0
Шайхантахурский,5,150.0,2,2,138000.0
Шайхантахурский,2,75.0,4,7,47000.0
Чиланзарский,3,97.0,7,8,67997.0
Юнусабадский,1,42.0,3,4,48500.0
Яккасарайский,5,116.0,3,9,88000.0
Чиланзарский,3,97.0,2,8,66445.0
Шайхантахурский,3,68.41,4,9,60000.0
Мирзо-Улугбекский,2,43.0,5,5,49000.0
Чиланзарский,4,132.0,1,8,96096.0
Чиланзарский,4,132.0,1,8,96096.0
Чиланзарский,3,97.0,1,8,72944.0
Мирабадский,3,110.0,5,9,105000.0
Чиланзарский,3,97.0,1,8,72944.0
Сергелийский,4,96.0,8,9,46000.0
Чиланзарский,3,97.0,1,8,72750.0
Яшнободский,1,37.0,2,8,13067.0
Чиланзарский,3,97.0,8,8,59849.0
Чиланзарский,3,97.0,8,8,59849.0
Учтепинский,2,57.0,1,4,40000.0
Мирзо-Улугбекский,3,126.0,5,6,141922.0
Юнусабадский,2,55.0,5,5,29500.0
Мирзо-Улугбекский,2,57.0,5,5,45000.0
Чиланзарский,3,97.0,8,8,59849.0
Чиланзарский,3,97.0,5,8,61692.0
Юнусабадский,3,68.0,3,4,63000.0
Чиланзарский,1,24.0,3,3,20000.0
Мирзо-Улугбекский,3,80.0,2,4,92000.0
Юнусабадский,3,100.0,2,4,88000.0
Юнусабадский,4,82.0,1,2,104000.0
Мирабадский,2,65.0,2,4,85000.0
Юнусабадский,4,88.0,4,4,78000.0
Юнусабадский,4,90.0,4,5,150000.0
Сергелийский,3,105.6,9,9,45474.0
Яккасарайский,3,70.0,3,3,55000.0
Яккасарайский,1,43.0,5,16,38500.0
Яккасарайский,5,115.0,4,5,70500.0
Яшнободский,3,80.0,2,4,74000.0
Чиланзарский,2,42.0,2,4,32500.0
Учтепинский,2,42.0,1,4,34000.0
Чиланзарский,2,40.0,3,4,38500.0
Мирабадский,3,83.0,7,9,65000.0
Яшнободский,2,56.0,4,9,53000.0
Учтепинский,3,115.0,6,9,80000.0
Юнусабадский,4,97.0,2,9,80000.0
Чиланзарский,6,120.0,1,4,84000.0
Мирабадский,4,200.0,6,9,162000.0
Яшнободский,3,75.0,5,9,79000.0
Мирзо-Улугбекский,3,76.0,2,5,57000.0
Чиланзарский,3,54.0,4,4,37000.0
Шайхантахурский,3,72.0,8,9,42500.0
Олмазорский,1,40.0,5,5,23500.0
Олмазорский,2,60.0,1,4,40000.0
Мирзо-Улугбекский,2,63.0,4,9,55500.0
Мирабадский,5,120.0,8,9,115000.0
Мирабадский,4,100.0,2,16,98000.0
Сергелийский,5,120.0,9,9,59000.0
Мирабадский,3,105.0,7,7,95000.0
Мирабадский,3,94.0,2,7,96000.0
Мирзо-Улугбекский,3,75.0,4,9,66000.0
Яккасарайский,2,83.0,5,7,77000.0
Мирабадский,3,75.0,6,9,103000.0
Яккасарайский,4,105.0,1,9,67000.0
Мирабадский,2,40.0,1,1,23500.0
Мирзо-Улугбекский,2,60.0,2,4,78000.0
Мирабадский,1,38.0,2,9,38000.0
Яккасарайский,5,215.0,8,9,165000.0
Юнусабадский,3,105.0,3,4,69000.0
Мирабадский,2,90.0,9,12,65000.0
Мирабадский,3,75.0,9,9,56000.0
Мирабадский,3,125.0,4,9,130000.0
Мирабадский,2,75.0,3,9,91000.0
Мирабадский,2,80.0,1,9,88000.0
Мирабадский,3,75.0,9,9,80000.0
Яккасарайский,3,80.0,11,16,48000.0
Мирабадский,2,53.0,3,4,54000.0
Яшнободский,3,140.0,2,4,140000.0
Мирабадский,5,120.0,13,16,115000.0
Яккасарайский,2,70.0,1,9,56000.0
Яккасарайский,4,150.0,4,16,64000.0
Юнусабадский,4,86.0,4,4,63000.0
Яшнободский,3,93.0,2,13,33776.0
Юнусабадский,4,110.0,3,9,88000.0
Юнусабадский,1,65.0,2,4,75500.0
Юнусабадский,2,51.0,3,4,50000.0
Юнусабадский,2,60.0,2,9,44500.0
Чиланзарский,3,95.0,7,7,40858.0
Мирзо-Улугбекский,3,80.0,5,5,36000.0
Чиланзарский,3,68.0,3,5,42000.0
Мирзо-Улугбекский,3,86.0,3,4,93000.0
Мирзо-Улугбекский,5,101.0,6,9,86000.0
Мирзо-Улугбекский,2,60.0,1,5,71000.0
Юнусабадский,1,40.0,2,4,62500.0
Яшнободский,3,70.0,2,5,47000.0
Юнусабадский,3,125.0,5,9,110000.0
Яккасарайский,1,44.0,2,9,27000.0
Юнусабадский,2,60.0,9,9,49999.0
Яшнободский,4,94.0,5,9,65000.0
Юнусабадский,4,90.0,2,4,78000.0
Юнусабадский,3,74.0,4,4,64000.0
Мирзо-Улугбекский,3,70.0,4,4,32500.0
Мирзо-Улугбекский,4,100.0,3,4,88000.0
Мирзо-Улугбекский,1,38.51,3,4,21000.0
Мирзо-Улугбекский,2,50.0,4,4,26500.0
Юнусабадский,4,86.0,2,4,74000.0
Яккасарайский,5,116.0,3,9,88000.0
Мирзо-Улугбекский,2,51.0,4,4,25500.0
Яккасарайский,3,76.0,5,9,43500.0
Мирзо-Улугбекский,1,34.0,4,4,20500.0
Мирзо-Улугбекский,3,70.0,2,4,36000.0
Янгихаётский,2,28.0,1,4,23000.0
Яккасарайский,2,52.0,4,5,32500.0
Шайхантахурский,3,72.0,2,9,58500.0
Мирзо-Улугбекский,3,110.0,4,7,158000.0
Яшнободский,2,58.0,5,5,31000.0
Яккасарайский,5,113.0,4,5,70000.0
Мирабадский,2,50.0,5,6,60000.0
Яшнободский,2,62.0,7,9,33500.0
Сергелийский,2,43.0,2,7,31000.0
Юнусабадский,1,34.0,3,4,24500.0
Мирзо-Улугбекский,3,80.0,7,8,70000.0
Яшнободский,3,75.0,4,9,53000.0
Мирабадский,3,67.0,2,4,60000.0
Мирзо-Улугбекский,1,35.0,3,5,32500.0
Мирзо-Улугбекский,3,88.0,5,9,105000.0
Чиланзарский,4,80.0,3,5,45000.0
Юнусабадский,5,105.0,3,5,95000.0
Яккасарайский,3,90.0,5,5,45000.0
Чиланзарский,3,91.0,3,4,49000.0
Мирзо-Улугбекский,4,95.0,7,9,50000.0
Чиланзарский,1,24.0,3,3,20000.0
Мирабадский,3,85.0,5,9,74000.0
Учтепинский,4,92.0,3,4,62000.0
Яккасарайский,1,44.0,2,9,27000.0
Сергелийский,2,62.0,2,9,37000.0
Мирабадский,2,55.0,3,4,51000.0
Мирабадский,2,62.0,3,9,53000.0
Чиланзарский,3,67.0,4,4,35500.0
Учтепинский,2,64.0,3,5,38000.0
Мирабадский,1,42.0,5,6,60000.0
Яшнободский,4,100.0,3,4,145000.0
Учтепинский,2,63.0,9,9,33000.0
Мирзо-Улугбекский,1,40.0,3,3,32500.0
Мирзо-Улугбекский,1,40.0,3,3,32500.0
Мирзо-Улугбекский,1,18.0,4,4,12000.0
Чиланзарский,4,100.0,4,9,95000.0
Мирзо-Улугбекский,1,41.0,3,4,31000.0
Мирзо-Улугбекский,1,39.0,1,4,26000.0
Мирзо-Улугбекский,1,24.0,2,4,13500.0
Мирзо-Улугбекский,1,33.0,3,5,25500.0
Мирзо-Улугбекский,2,45.0,2,4,33505.0
Яккасарайский,5,116.0,3,9,88000.0
Мирзо-Улугбекский,2,60.0,1,5,46000.0
Яккасарайский,2,42.0,5,9,23500.0
Яккасарайский,2,43.0,5,9,25500.0
Яккасарайский,2,54.0,2,9,29500.0
Яккасарайский,2,64.0,1,5,42000.0
Яккасарайский,4,96.0,2,5,84000.0
Чиланзарский,1,30.0,1,4,24500.0
Яккасарайский,4,110.0,4,8,71800.0
Яккасарайский,2,36.0,2,5,37000.0
Мирабадский,3,100.0,3,7,130000.0
Сергелийский,2,50.0,1,4,37000.0
Мирзо-Улугбекский,2,65.0,5,5,37000.0
Чиланзарский,3,88.0,6,8,55000.0
Мирзо-Улугбекский,2,64.0,5,5,34000.0
Мирабадский,4,100.0,7,9,105000.0
Мирзо-Улугбекский,3,69.0,4,4,47000.0
Мирзо-Улугбекский,2,59.0,3,5,44000.0
Мирзо-Улугбекский,3,62.0,3,4,37000.0
Яккасарайский,2,36.0,2,4,29500.0
Яккасарайский,2,51.0,4,4,33500.0
Мирабадский,1,38.0,2,9,37000.0
Яккасарайский,2,59.0,1,2,33500.0
Яккасарайский,2,42.0,2,2,34500.0
Яккасарайский,2,45.0,1,2,40000.0
Мирабадский,2,52.0,8,8,87000.0
Яккасарайский,2,53.0,1,9,36500.0
Мирабадский,4,120.0,2,8,145000.0
Яккасарайский,3,106.0,4,6,138000.0
Яккасарайский,2,42.0,1,2,37000.0
Яккасарайский,4,100.0,7,9,60000.0
Яккасарайский,1,40.0,2,5,27500.0
Мирабадский,3,105.0,2,8,172000.0
Юнусабадский,3,70.0,4,4,64500.0
Мирабадский,4,98.0,1,4,64000.0
Яккасарайский,2,56.0,4,4,37000.0
Мирабадский,2,50.0,3,5,38500.0
Мирзо-Улугбекский,3,74.0,8,9,50000.0
Яккасарайский,4,131.0,7,8,85000.0
Мирзо-Улугбекский,2,60.0,3,9,53000.0
Мирабадский,4,147.0,3,12,136500.0
Юнусабадский,1,42.0,4,4,25000.0
Мирзо-Улугбекский,3,65.0,4,5,41500.0
Учтепинский,1,42.0,4,5,25500.0
Мирзо-Улугбекский,3,74.0,2,9,58000.0
Учтепинский,2,58.0,2,5,33800.0
Мирзо-Улугбекский,2,50.0,1,4,36500.0
Чиланзарский,3,90.0,5,9,39500.0
Мирабадский,2,62.0,9,9,57000.0
Мирзо-Улугбекский,2,64.0,1,4,65000.0
Чиланзарский,3,67.0,4,4,35500.0
Мирабадский,4,120.0,1,4,135000.0
Яккасарайский,2,54.0,1,2,37000.0
Яшнободский,3,63.0,4,5,43500.0
Яккасарайский,2,55.0,4,5,37000.0
Яккасарайский,2,60.0,8,9,37000.0
Яккасарайский,2,48.0,1,4,37500.0
Юнусабадский,2,60.0,2,4,75000.0
Мирзо-Улугбекский,2,47.0,3,9,46500.0
Мирзо-Улугбекский,2,40.0,2,5,40000.0
Юнусабадский,2,55.0,5,5,31500.0
Мирзо-Улугбекский,2,50.0,2,4,32000.0
Мирзо-Улугбекский,2,55.0,4,4,32000.0
Мирзо-Улугбекский,2,60.0,2,4,42000.0
Мирзо-Улугбекский,1,24.0,3,4,15000.0
Юнусабадский,3,81.0,4,4,61500.0
Мирзо-Улугбекский,2,65.0,3,9,60000.0
Яккасарайский,2,52.0,9,12,38500.0
Олмазорский,3,113.0,3,4,80000.0
Мирзо-Улугбекский,2,60.0,1,4,39000.0
Чиланзарский,2,51.0,1,4,36500.0
Учтепинский,2,50.0,1,4,36500.0
Мирабадский,4,130.0,3,9,105000.0
Мирзо-Улугбекский,2,55.0,5,5,33000.0
Мирабадский,3,113.0,5,5,65000.0
Чиланзарский,2,50.0,5,5,42000.0
Чиланзарский,2,51.0,1,4,39500.0
Чиланзарский,5,100.0,2,4,68000.0
Учтепинский,2,54.0,3,5,35000.0
Мирзо-Улугбекский,3,75.0,3,4,67000.0
Яккасарайский,2,48.0,1,4,39000.0
Юнусабадский,3,125.0,3,9,82000.0
Яккасарайский,2,53.0,9,12,39000.0
Юнусабадский,2,60.0,2,9,55000.0
Яккасарайский,2,53.0,5,8,43000.0
Юнусабадский,4,160.0,3,9,105000.0
Яккасарайский,2,42.0,2,2,39000.0
Яккасарайский,2,40.0,1,4,40000.0
Яккасарайский,2,55.0,3,9,40000.0
Мирабадский,2,50.0,4,4,47000.0
Яккасарайский,2,50.0,2,2,41000.0
Чиланзарский,1,30.0,2,4,25700.0
